"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"experiment"
"05/26/2021 20:29:51:540 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","3","3","3","3","3","12","12","12","12","12","25","25","25","25","25"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"[reporter]","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5"
,"0.35918190966672614","0.3693598061024602","0.37373994169096203","0.35195094789018033","0.3569212166310112","0.444436601040498","0.4245231157508319","0.4601553115078331","0.46163483712078823","0.43001886792452837","0.45184792135496876","0.48278949173468716","0.45890935384210885","0.48918189781021876","0.47919970405080475"
,"0.3718681945021671","0.36918253064941","0.3831514260511618","0.35289712933955647","0.35617600291315177","0.4488648050314465","0.4293731918997107","0.4693352139163139","0.46976173932533866","0.43292599064314274","0.4675011403192896","0.48782692824509544","0.4749218004834388","0.49823518371471875","0.48775907731738594"
,"0.37043747823058176","0.3775180190280936","0.3848082782408738","0.3495823187862896","0.3543271952158211","0.45349815865432497","0.4396550033429909","0.4561421423465742","0.4677208042052783","0.4434571285308375","0.47175951150775003","0.4953246477000794","0.48219690762521444","0.4834693877551019","0.47987532839742036"
,"0.37022411734606847","0.38702287154295206","0.38544176292873683","0.3514859818919764","0.3561281652533668","0.45179530748332924","0.43858784383318566","0.4598138135125646","0.4633708173051593","0.44734715880961573","0.4861286237146345","0.49015320857346345","0.4782047619047618","0.48301397849462396","0.4822929111191077"
,"0.373811430978795","0.3951145610970957","0.3918832772166108","0.3694752764713362","0.36180803362914543","0.46672393860873046","0.4456902956368835","0.4537044378264903","0.46879422607612026","0.45173389674413583","0.4864594766333544","0.4777118438675936","0.4915122531210782","0.4701309124399713","0.5033974609375"
,"0.38464331828829346","0.3936693606717193","0.39954829464029806","0.36965315681009187","0.3654426837393901","0.47585749019997015","0.4507031844364745","0.45605220261013046","0.4606240480961922","0.45006284578610967","0.48617863636363634","0.4836519751047884","0.4692414837244512","0.49195990108935356","0.48523716264628636"
,"0.3916089493061457","0.39732547347297115","0.39508176454060134","0.3700174324492594","0.36808762945260054","0.4658690763052212","0.4490726511981743","0.44999857738034754","0.4682086438152012","0.4511970467069709","0.4749976348935702","0.47573289983743916","0.46728448436048337","0.48977025963808024","0.48166219213260164"
,"0.39979673594805365","0.39902765903947673","0.4010519006112338","0.3793690977748649","0.36906664418022866","0.4710614413150243","0.44920279720279727","0.4526453546453551","0.46533809311319324","0.450430217265506","0.4864724340814993","0.4832431005217827","0.4879939736346517","0.5025765812859386","0.4779640609942746"
,"0.40598300218215216","0.40429374801650275","0.40259329125593923","0.38677500078396954","0.3671654003506721","0.4681713729308665","0.4399223883686033","0.45635932911959415","0.46687297738631256","0.46318944392082956","0.49409003145677405","0.48810655220300475","0.4928219515196258","0.4922062757201644","0.4795380993396498"
,"0.40299314837695166","0.4089879632864357","0.40021377270806935","0.3894385565169197","0.37168822829306114","0.4624512534818941","0.43873272699864335","0.4594673789385173","0.4703610214264751","0.46096096974763595","0.5072650008130523","0.5077185904305618","0.49380303211173454","0.4817866431006187","0.48874115197779305"
,"0.4073507000613601","0.4080889112776274","0.40000983686051794","0.39268123972477637","0.3738816895179127","0.4640712448804645","0.44883405662326936","0.46742128504093244","0.46246039956342233","0.4484066513174724","0.5109888133597388","0.506385668076636","0.48828526223263974","0.49303668100177084","0.48258937198067636"
